Plant state abbreviation,DOE/EIA ORIS plant or facility code,Utility ID,Plant latitude,Plant longitude,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant annual net generation,Plant annual CO2 emissions,plant_emission_rate
CA,57310,57320,33.794283,-118.241405,SUN,SOLAR,1781.0,0.0,0.0
CA,58918,61315,36.67,-119.415833,SUN,SOLAR,1535.0,0.0,0.0
CA,58920,61315,37.352222,-120.506944,SUN,SOLAR,2656.0,0.0,0.0
CA,58919,61315,39.291667,-121.669722,SUN,SOLAR,2410.0,0.0,0.0
CA,57871,11208,34.026944,-118.224167,SUN,SOLAR,1252.0,0.0,0.0
CA,52162,62092,35.1011,-118.3372,WND,WIND,12194.0,0.0,0.0
CA,52163,62092,35.1011,-118.3372,WND,WIND,16181.0,0.0,0.0
CA,293,14328,37.15105,-119.504724,WAT,HYDRO,52855.0,0.0,0.0
CA,61501,61105,35.472113,-119.432866,OBG,BIOMASS,7924.0,0.0,0.0
CA,61502,61106,35.21426,-119.202974,OBG,BIOMASS,6513.0,0.0,0.0
CA,61503,61107,35.17306,-119.116384,OBG,BIOMASS,7972.0,0.0,0.0
CA,58699,58628,35.169722,-119.105556,OBG,BIOMASS,12192.0,0.001,8.202099737532809e-08
CA,59440,59212,34.557222,-117.3775,SUN,SOLAR,18283.0,0.0,0.0
CA,57305,11208,34.550833,-117.435277,SUN,SOLAR,12751.0,0.0,0.0
CA,59441,59211,34.557222,-117.3775,SUN,SOLAR,60023.0,0.0,0.0
CA,60027,58661,37.120586,-120.32488,SUN,SOLAR,42336.0,0.0,0.0
CA,57811,57128,37.330556,-121.893056,NG,GAS,8338.0,0.0,0.0
CA,57651,17650,35.102778,-118.954444,SUN,SOLAR,47763.0,0.0,0.0
CA,55184,24536,35.953293,-120.859952,NG,GAS,47904.0,15317.146,0.31974670173680697
CA,57697,60281,38.613508,-121.162879,SUN,SOLAR,5923.0,0.0,0.0
CA,57698,60281,38.6086,-121.1703,SUN,SOLAR,3994.0,0.0,0.0
CA,61718,61348,34.189857,-118.451355,SUN,SOLAR,1904.0,0.0,0.0
CA,315,22148,33.7688,-118.1009,NG,GAS,581118.0,487350.102,0.8386422413348064
CA,335,23693,33.6439,-117.9792,NG,GAS,221671.0,165662.797,0.7473363543269078
CA,356,22484,33.8504,-118.395,NG,GAS,195943.0,188863.898,0.9638716259320312
CA,50748,2871,37.4058,-121.9272,NG,GAS,6467.0,3360.796,0.5196839338178444
CA,63699,62150,37.32489,-121.99894,NG,GAS,18227.0,0.0,0.0
CA,55951,5532,34.0414,-117.3603,NG,GAS,4041.0,2699.675,0.6680710220242515
CA,52158,7160,38.8339,-122.881,GEO,GEOTHERMAL,106159.0,12301.702,0.11587997249408905
CA,7450,40613,37.7886,-122.2889,NG,GAS,7208.0,7108.784,0.986235294117647
CA,905,3255,34.8158,-118.6867,WAT,HYDRO,63010.0,0.0,0.0
CA,59469,58468,34.682222,-117.3475,SUN,SOLAR,41820.0,0.0,0.0
