X,Y,Plant_Code,Plant_Name,State,Zip,PrimSource
-89.685,45.1786,4068,Merrill,Wisconsin,54452,hydroelectric
-87.7586,45.1136,4071,Potato Rapids,Wisconsin,54143,hydroelectric
-88.0086,44.54,4072,Pulliam,Wisconsin,54303,natural gas
-88.0678,45.2333,4074,Sandstone Rapids,Wisconsin,54114,hydroelectric
-89.7306,45.4411,4075,Tomahawk,Wisconsin,54487,hydroelectric
-87.6881,45.0869,4076,West Marinette,Wisconsin,54143,natural gas
-89.6367,44.9575,4077,Wausau,Wisconsin,54401,hydroelectric
-89.6553,44.8606,4078,Weston,Wisconsin,54474,coal
-89.9514,43.8656,4079,Castle Rock,Wisconsin,53934,hydroelectric
-90.0217,44.0572,4080,Petenwell,Wisconsin,54646,hydroelectric
-91.5034,44.2524,4100,Arcadia Electric,Wisconsin,54612,petroleum
-91.840382,45.40193,4102,Barron,Wisconsin,54812,petroleum
-90.780325,43.742874,4107,Cashton,Wisconsin,54619,petroleum
-92.0224,45.5336,4112,Cumberland (WI),Wisconsin,54829,natural gas
-90.2675,43.7395,4113,Elroy,Wisconsin,53929,petroleum
-90.6558,42.9828,4114,Fennimore,Wisconsin,53809,petroleum
-88.265445,44.276199,4118,Kaukauna Gas Turbine,Wisconsin,54130,natural gas
-88.25558,44.279897,4119,Little Chute,Wisconsin,54113,hydroelectric
-88.2678,44.2772,4120,New Badger,Wisconsin,54130,hydroelectric
-88.3147,44.3164,4122,Rapide Croche,Wisconsin,54130,hydroelectric
-90.6391,43.5722,4124,La Farge,Wisconsin,54639,petroleum
-87.6558,44.082,4125,Manitowoc,Wisconsin,54221,petroleum
-90.1645,43.8797,4130,New Lisbon,Wisconsin,53950,petroleum
-90.669,43.507,4139,Viola,Wisconsin,54664,petroleum
-91.047211,45.491826,4142,Flambeau Hydroelectric Station,Wisconsin,54848,hydroelectric
-88.1586,44.8747,4147,Stiles,Wisconsin,54154,hydroelectric
-86.930822,45.370922,4148,Washington Island,Wisconsin,54246,petroleum
-105.7769,42.8378,4158,Dave Johnston,Wyoming,82637,coal
-110.5983,41.7581,4162,Naughton,Wyoming,83101,coal
-106.795901,42.4766,4176,Fremont Canyon,Wyoming,82620,hydroelectric
-104.955526,42.467254,4177,Glendo,Wyoming,82213,hydroelectric
-104.760634,42.289868,4178,Guernsey,Wyoming,82214,hydroelectric
