,bus_i,l_ren,c_vec,county,carb_inten_no_renew,pd,kV,carb_inten_inc_all,Type,Import,Lat,Lon,,
0,1,38.51201098,1.568988431,Alameda County,0.258705154,42.4462911,115,0.023978975,'Substation',' ',37.77243572,-122.2429162,,
1,2,7.097280475,0.670770591,Alameda County,0.254596161,9.13871304,66,0.056872438,'Substation',' ',37.77848161,-121.6259513,,
2,3,-2.751793232,0.904179743,Alameda County,0.343188408,0,66,0,'Substation',' ',37.7483765,-121.6772083,,
3,4,13.89543291,1.212933522,Alameda County,0.266673993,17.0870967,230,0.049811489,'Substation',' ',37.69128098,-122.0612774,,
4,5,84.86621913,0.557548219,Alameda County,0.193696664,86.9250466,115,0.004587723,'Substation',' ',37.59578193,-122.0174353,,
5,6,-2.200453873,0.556805709,Trinity County,0.210153416,0,66,0,'Substation',' ',40.09403073,-123.5091868,,
6,7,94.56812447,1.045138802,Alameda County,0.232025236,97.5284565,115,0.007042783,'Substation',' ',37.55699202,-122.05794,,
7,8,46.0920741,1.240986089,Alameda County,0.237937056,49.2909185,115,0.015441457,'Substation',' ',37.73868954,-122.1937991,,
8,9,3.862507142,0.602639761,Alameda County,0.209361822,6.08784166,115,0.0765296,'Substation',' ',37.49369132,-121.9394285,,
9,10,12.77845641,2.470511483,Alameda County,0.316914076,18.6843006,115,0.100172075,'Substation',' ',37.67126804,-122.1595387,,
10,11,2.262656644,0.812952263,Alameda County,0.240722212,4.7139691,115,0.125178028,'Substation',' ',37.876174,-122.245764,,
11,12,2.167785321,0.602644552,Alameda County,0.209363486,4.39313753,66,0.106053474,'Substation',' ',37.66794608,-121.8318768,,
12,13,23.54855282,0.751554672,Alameda County,0.261096041,26.3237772,115,0.027526448,'Substation',' ',37.59531056,-122.0174915,,
13,14,26.13047717,0.997616148,Alameda County,0.231784849,28.8782114,66,0.022054107,'Substation',' ',37.70853376,-121.9070045,,
14,15,16.34508949,0.785019633,Alameda County,0.245767853,18.7143794,66,0.03111486,'Substation',' ',37.68002781,-121.7805048,,
15,16,14.59648529,0.737672857,Alameda County,0.233945906,16.8818308,66,0.031669979,'Substation',' ',37.71164362,-121.8938504,,
16,17,32.56236973,0.737673425,Alameda County,0.233946087,34.847717,66,0.015342413,'Substation',' ',37.67255501,-121.859528,,
17,18,-2.751796073,0.904180676,Alameda County,0.343188763,0,230,0,'Substation',' ',37.79905699,-121.6199438,,
18,19,31.6348536,1.388078045,Alameda County,0.322092084,35.3778597,115,0.034077602,'Substation',' ',37.71062477,-122.1481883,,
19,20,50.43009946,1.619369396,Alameda County,0.268910011,54.4819597,115,0.01999902,'Substation',' ',37.76299826,-122.2144948,,
20,21,6.589703501,1.151881915,Alameda County,0.274934535,9.58654724,115,0.08594709,'Substation',' ',37.58690266,-121.869684,,
21,22,3.574471887,0.821973821,Alameda County,0.219963444,6.22557315,115,0.093669346,'Substation',' ',37.60924399,-121.842671,,
22,23,-2.751793232,0.904179743,Alameda County,0.343188408,0,66,0,'Substation',' ',37.71111924,-121.7158749,,
23,24,3.292895662,0.759743267,Alameda County,0.263940823,6.09835761,66,0.12142219,'Substation',' ',37.66968929,-121.8544376,,
24,25,0.885102441,0.707115032,Amador County,0.213524461,3.31771748,66,0.156560291,'Substation',' ',38.408767,-120.822098,,
25,26,1.594346277,0.707106342,Amador County,0.213521837,4.02693142,66,0.128984081,'Substation',' ',38.34219061,-120.9349804,,
26,27,1.511768717,0.707100394,Amador County,0.213520041,3.9443334,66,0.131682913,'Substation',' ',38.37390104,-120.9575497,,
27,28,0,0,Amador County,0,0,66,0,'Substation',' ',38.27717343,-120.9138995,,
28,29,3.685316068,0.707105917,Amador County,0.213521708,6.11789975,66,0.084899957,'Substation',' ',38.36910799,-120.796754,,
29,30,0.99726507,0.707113474,Amador County,0.21352399,3.42987475,66,0.151440086,'Substation',' ',38.36863575,-120.8054803,,
30,31,-0.496261853,0.707112077,Amador County,0.213523569,1.93634302,66,0.268247138,'Substation',' ',38.48076425,-120.8449436,,
31,32,-3.27906237,0.953161209,Amador County,0.287821958,0,115,0,'Substation',' ',38.4984199,-120.2184202,,
32,33,1.274755766,0.707103604,Amador County,0.21352101,3.70733149,66,0.140102396,'Substation',' ',38.4127977,-120.6602339,,
33,34,-4.407452666,1.939279173,San Joaquin County,0.440000047,0,115,0,'Substation',' ',37.71296547,-121.4775277,,
34,35,0,0,Butte County,0,0,66,0,'Substation',' ',39.48122633,-121.5654854,,
35,36,4.94799743,0.532274648,Butte County,0.311713752,6.18354674,66,0.062284273,'Substation',' ',39.36471317,-121.6856152,,
36,37,8.27308424,0.599052036,Butte County,0.318999547,9.66622851,66,0.04597578,'Substation',' ',39.47437782,-121.5747818,,
37,38,0.731734254,0.53227033,Butte County,0.311711223,1.96727354,66,0.195769147,'Substation',' ',39.4087526,-121.6886266,,
38,39,2.523881004,0.617214327,Santa Barbara County,0.223986425,4.48262505,115,0.097873918,'Substation',' ',34.64326979,-120.4372802,,
39,40,-1.529463654,0.672447002,Butte County,0.438275251,0,66,0,'Substation',' ',39.81095374,-121.9196266,,
40,41,1.232207786,0.599062715,Butte County,0.319005233,2.62537689,66,0.169281689,'Substation',' ',39.38767374,-121.4031757,,
41,42,2.498733625,0.532280604,Butte County,0.31171724,3.73429676,115,0.10313758,'Substation',' ',39.71220645,-121.8133571,,
42,43,-2.014472895,0.870050675,Butte County,0.413275232,0,115,0,'Substation',' ',39.71884016,-121.8209206,,
43,44,4.523381835,0.771123758,Butte County,0.410628985,6.3166929,115,0.116577696,'Substation',' ',39.72551493,-121.8470758,,
44,45,-2.099976683,0.740363563,Riverside County,0.295395144,0,115,0,'Substation',' ',33.81774602,-116.3674057,,
45,46,-1.877907987,0.807500435,Butte County,0.429999829,0,115,0,'Substation',' ',39.60773551,-121.7683336,,
46,47,9.577807699,0.476643015,Glenn County,0.323807166,10.6653498,66,0.033018507,'Substation',' ',39.74641854,-122.0113693,,
47,48,13.06123257,0.614556484,Butte County,0.327255778,14.4904337,115,0.032277455,'Substation',' ',39.7602408,-121.9070486,,
48,49,-1.87791453,0.807503248,Butte County,0.430001327,0,66,0,'Substation',' ',39.50399795,-121.560155,,
49,50,-1.877908215,0.807500532,Butte County,0.429999881,0,66,0,'Substation',' ',39.76066295,-121.6187304,,
50,51,-1.665508939,0.717501258,Butte County,0.420187229,0,66,0,'Substation',' ',39.37824172,-121.6850945,,
51,52,0.509607981,0.455931799,Butte County,0.242786984,1.56991449,115,0.163976205,'Substation',' ',39.76876106,-121.8240284,,
52,53,2.237699789,0.532288038,Butte County,0.311721593,3.47328018,115,0.110891454,'Substation',' ',39.48676454,-121.6880242,,
53,54,-1.877878444,0.807487731,Butte County,0.429993064,0,115,0,'Substation',' ',39.49170026,-121.5409467,,
54,55,-0.05270204,0.707120474,Calaveras County,0.213526104,2.37993172,66,0.218254501,'Substation',' ',38.16989692,-120.6672277,,
55,56,3.703522858,0.740725644,Tuolumne County,0.215334265,6.20042383,115,0.086714771,'Substation',' ',38.06981688,-120.4221335,,
56,57,-3.279056495,0.953159502,Calaveras County,0.287821443,0,66,0,'Substation',' ',38.10148065,-120.9261759,,
57,58,0,0,Calaveras County,0,0,115,0,'Substation',' ',38.0571528,-120.5339711,,
58,59,-3.278907385,0.953116158,Calaveras County,0.287808354,0,230,0,'Substation',' ',37.9446466,-120.5362212,,
59,60,0,0,Calaveras County,0,0,115,0,'Substation',' ',38.14698707,-120.4464194,,
60,61,-3.279056553,0.953159518,Calaveras County,0.287821448,0,66,0,'Substation',' ',38.19974699,-120.719348,,
61,62,-1.305026995,0.566586338,Colusa County,0.431930601,0,66,0,'Substation',' ',39.01747968,-122.0613948,,
62,63,4.738796737,0.412361472,Colusa County,0.319954634,5.69005468,66,0.053489712,'Substation',' ',39.21353467,-122.0025503,,
63,64,4.051862054,0.420333025,Colusa County,0.320436063,5.02002155,66,0.06179918,'Substation',' ',38.96982277,-122.0433322,,
64,65,4.465679873,0.420324285,Colusa County,0.320429401,5.43381924,66,0.057090658,'Substation',' ',38.96922396,-122.0704684,,
65,66,-1.316417926,0.571959274,Colusa County,0.43225146,0,66,0,'Substation',' ',39.27695996,-122.1532889,,
66,67,1.455467433,0.411656165,Colusa County,0.319905946,2.40522837,66,0.12632238,'Substation',' ',39.40274718,-122.0132647,,
67,68,-1.316417926,0.571959274,Colusa County,0.43225146,0,66,0,'Substation',' ',39.15748765,-122.1477121,,
68,69,12.44952735,0.786968841,Contra Costa County,0.326419056,14.2380929,115,0.041004219,'Substation',' ',37.99392322,-122.1301156,,
69,70,-0.210113591,0.67075602,Contra Costa County,0.254590631,1.83127463,66,0.283801406,'Substation',' ',37.81698936,-121.5871457,,
70,71,0,0,Contra Costa County,0,0,66,0,'Substation',' ',38.01132999,-121.748771,,
71,72,-0.199170901,0.670795959,Contra Costa County,0.25460579,1.84233887,66,0.28213062,'Substation',' ',37.88699377,-121.5769277,,
72,73,-2.724713104,0.820613385,Contra Costa County,0.247371413,0,66,0,'Substation',' ',38.01049965,-121.7562696,,
73,74,39.03317534,2.032988215,Contra Costa County,0.304597412,43.7346832,115,0.032744427,'Substation',' ',38.02639867,-121.8496279,,
74,75,3.776359517,0.786967928,Contra Costa County,0.326418677,5.56492299,115,0.1049108,'Substation',' ',38.01420008,-122.1158065,,
75,76,0,0,Contra Costa County,0,0,66,0,'Substation',' ',38.01900393,-122.2354177,,
76,77,16.6777944,0.711227543,Contra Costa County,0.201553615,18.9897946,66,0.024539075,'Substation',' ',37.92595616,-122.0713843,,
77,78,0.919585654,0.670761105,Contra Costa County,0.254592561,2.96098935,66,0.175524506,'Substation',' ',37.83870261,-121.6229064,,
78,79,-3.104735958,1.022569216,Contra Costa County,0.332388638,0,66,0,'Substation',' ',37.92583801,-121.678276,,
79,80,2.415380592,0.681920641,Contra Costa County,0.230392803,4.60030084,115,0.10942543,'Substation',' ',38.0125913,-122.0426788,,
80,81,0.607001045,0.779609941,Contra Costa County,0.244665998,2.9729053,66,0.194710651,'Substation',' ',37.88525172,-121.8144465,,
81,82,38.94623732,0.992616017,Contra Costa County,0.281295836,42.1729521,115,0.021522359,'Substation',' ',37.94410025,-121.9691071,,
82,83,2.705947424,1.457127461,Contra Costa County,0.294874848,6.19515938,115,0.166078188,'Substation',' ',38.02598429,-121.8633112,,
83,84,5.831781891,0.797106099,Contra Costa County,0.251462948,8.34390277,66,0.075708615,'Substation',' ',38.01351802,-121.815552,,
84,85,-2.718685564,2.299463273,Contra Costa County,0.326415726,2.50736733,115,0.680341419,'Substation',' ',38.02728725,-121.8543797,,
85,86,-0.204047308,1.058410412,Contra Costa County,0.313404498,2.98740039,115,0.33481085,'Substation',' ',37.8759552,-122.1870459,,
86,87,2.1093347,0.497048869,Contra Costa County,0.299339008,3.23899122,115,0.10439987,'Substation',' ',38.01599634,-121.7739186,,
87,88,14.3239937,0.691055029,Contra Costa County,0.305582841,15.9580311,66,0.031290439,'Substation',' ',38.012107,-122.26433,,
88,89,-2.751816312,0.904187327,Contra Costa County,0.343191287,0,66,0,'Substation',' ',37.81672046,-121.5861654,,
89,90,1.668166214,0.66373181,Contra Costa County,0.356477647,3.1766476,115,0.169279052,'Substation',' ',38.00163657,-122.0672557,,
90,91,1.049245089,0.779612448,Contra Costa County,0.244666785,3.41515695,66,0.169497349,'Substation',' ',37.90286541,-121.7226958,,
