county,c_vec
Alameda County,112.52709864817508
Alpine County,0.2161512147410915
Amador County,11.686990358058736
Butte County,46.029589247834515
Calaveras County,10.080090763275809
Colusa County,19.706536906966654
Contra Costa County,163.21487616608943
El Dorado County,12.47683119868964
Fresno County,39.71689998198364
Glenn County,12.40508392396232
Humboldt County,11.84241093175344
Imperial County,20.8034361172035
Inyo County,19.60580165274757
Kern County,176.34217822803083
Kings County,10.51696423115091
Lake County,2.9111220941011804
Lassen County,13.019071797870511
Los Angeles County,1331.7396352928056
Madera County,6.018649016082036
Marin County,14.31239695772003
Mariposa County,1.9123716851542625
Mendocino County,1.9387029245490195
Merced County,19.022355090204528
Modoc County,5.909934458484093
Mono County,3.541687645423572
Monterey County,37.74529206132718
Napa County,16.944757825794053
Nevada County,15.488393066334488
Orange County,342.27537049430185
Placer County,43.1453067001641
Plumas County,19.984902487446817
Riverside County,176.86731498778403
Sacramento County,242.12565317194932
San Benito County,2.2318765144849406
San Bernardino County,301.30373005194565
San Diego County,426.94985780233964
San Francisco County,23.673615446211123
San Joaquin County,89.89459480680068
San Luis Obispo County,0.9098544793731558
San Mateo County,46.11571815688515
Santa Barbara County,27.96842497652262
Santa Clara County,145.7520882949239
Santa Cruz County,6.4556146272288535
Shasta County,42.11951310314479
Sierra County,3.234717237805522
Siskiyou County,12.544201073197291
Solano County,56.83347295108038
Sonoma County,18.450654321473746
Stanislaus County,73.3296409985082
Sutter County,18.78286922856849
Tehama County,8.112096317288009
Trinity County,7.913600750644981
Tulare County,93.93149890921583
Tuolumne County,15.328878214208215
Ventura County,106.07104068069617
Yolo County,14.696511331289427
Yuba County,17.791553025725822
