,bus_i,l_ren,c_vec,county,carb_inten_no_renew,pd,kV,carb_inten_inc_all,Type,Import,Lat,Lon
0,1,24.864204626540534,0.5791089816676144,Alameda County,0.23609248148402207,26.7229165,115,0.016421407392747008,'Substation',' ',37.77243572,-122.2429162
1,2,4.194607563852141,0.48824313390089447,Alameda County,0.26820681612246233,5.75346066,66,0.07266844259963356,'Substation',' ',37.77848161,-121.6259513
2,3,-1.9147328117260303,0.5997070223551821,Alameda County,0.32943732313666246,0.0,66,0.0,'Substation',' ',37.7483765,-121.6772083
3,4,8.767632464345311,0.6318125701125246,Alameda County,0.24829757699213145,10.7575256,230,0.04592930218602814,'Substation',' ',37.69128098,-122.0612774
4,5,53.09933327546845,0.3721008893520256,Alameda County,0.18622440729111728,54.7254121,115,0.005533362905585574,'Substation',' ',37.59578193,-122.0174353
5,6,-1.421185946087327,0.1887878953662652,Trinity County,0.1159338555087333,0.0,66,0.0,'Substation',' ',40.09403073,-123.5091868
6,7,59.392317996277235,0.6241391007644492,Alameda County,0.23399695368056808,61.4010021,115,0.007655021011093711,'Substation',' ',37.55699202,-122.05794
7,8,29.118829727435667,0.6154665562397674,Alameda County,0.23151859095674907,31.0320897,115,0.014274103267432963,'Substation',' ',37.73868954,-122.1937991
8,9,2.1203673250180133,0.39184395568004426,Alameda County,0.19610517062776767,3.83272324,115,0.0876144265723214,'Substation',' ',37.49369132,-121.9394285
9,10,8.92237141830704,1.0250639412983784,Alameda County,0.2776549444271372,11.7630775,115,0.06705184839990123,'Substation',' ',37.67126804,-122.1595387
10,11,1.229275849881982,0.4999969045251125,Alameda County,0.23651655497990812,2.96777406,115,0.13854949843986777,'Substation',' ',37.876174,-122.245764
11,12,1.0534199987534203,0.39184675116747736,Alameda County,0.19610656967841558,2.76578813,66,0.12141444841814607,'Substation',' ',37.66794608,-121.8318768
12,13,14.575338376970999,0.45705442922702144,Alameda County,0.22874089425263194,16.5726637,115,0.027567685483359,'Substation',' ',37.59531056,-122.0174915
13,14,16.346366569785925,0.5612665407498146,Alameda County,0.22472971058945557,18.1808591,66,0.02267576978216211,'Substation',' ',37.70853376,-121.9070045
14,15,10.104425958665777,0.49278334190709316,Alameda County,0.24730213156385583,11.782014,66,0.03521223947858043,'Substation',' ',37.68002781,-121.7805048
15,16,8.972176594076725,0.4661026358210878,Alameda County,0.23381335875318252,10.6282961,66,0.03643320251273223,'Substation',' ',37.71164362,-121.8938504
16,17,20.282964937962728,0.46610175099753115,Alameda County,0.23381291489478787,21.9390813,66,0.017649845438737072,'Substation',' ',37.67255501,-121.859528
17,18,-1.9147316046425606,0.5997066442886292,Alameda County,0.3294371154531962,0.0,230,0.0,'Substation',' ',37.79905699,-121.6199438
18,19,20.02317527471779,0.7009171124444232,Alameda County,0.2857515003740676,22.2728433,115,0.02886232372352558,'Substation',' ',37.71062477,-122.1481883
19,20,32.04062610661195,0.765450717263876,Alameda County,0.25051018624629545,34.3002141,115,0.016502806875002343,'Substation',' ',37.76299826,-122.2144948
20,21,3.671898433699557,0.9129231702914696,Alameda County,0.30156898302985047,6.03540368,115,0.11809647064279566,'Substation',' ',37.58690266,-121.869684
21,22,1.814442753796608,0.6293136074914321,Alameda County,0.2257930399602321,3.91943487,115,0.12126558669155434,'Substation',' ',37.60924399,-121.842671
22,23,-1.9147328117260303,0.5997070223551821,Alameda County,0.32943732313666246,0.0,66,0.0,'Substation',' ',37.71111924,-121.7158749
23,24,1.8212034886869715,0.46181757217398073,Alameda County,0.23112469256519447,3.83934372,66,0.12149004479225793,'Substation',' ',37.66968929,-121.8544376
24,25,0.2431031702623776,0.4815505325276849,Amador County,0.20971983801642324,2.08873581,66,0.18531102707699437,'Substation',' ',38.408767,-120.822098
25,26,0.689612804316811,0.4815479875628823,Amador County,0.20971872966004082,2.53523569,66,0.15267286136105837,'Substation',' ',38.34219061,-120.9349804
26,27,0.637578947135564,0.481556500436011,Amador County,0.20972243709727334,2.48323446,66,0.15587548354171415,'Substation',' ',38.37390104,-120.9575497
27,28,0.0,0.0,Amador County,0.0,0.0,66,0.0,'Substation',' ',38.27717343,-120.9138995
28,29,2.006035836484621,0.48154489778104137,Amador County,0.20971738403065532,3.85164688,66,0.10049122675133014,'Substation',' ',38.36910799,-120.796754
29,30,0.3136996844464328,0.48155427554520586,Amador County,0.2097214681361618,2.15934667,66,0.1792541238741325,'Substation',' ',38.36863575,-120.8054803
30,31,-0.6266156037495201,0.48156271301816067,Amador County,0.2097251427359012,1.21906372,66,0.31752676522771894,'Substation',' ',38.48076425,-120.8449436
31,32,-2.2670119549305574,0.5914940983589413,Amador County,0.25760130685428284,0.0,115,0.0,'Substation',' ',38.4984199,-120.2184202
32,33,0.48839992765300067,0.4815485894026864,Amador County,0.20971899176700096,2.33402512,66,0.1658348280839368,'Substation',' ',38.4127977,-120.6602339
33,34,-3.1239378612968354,1.3745326589706075,San Joaquin County,0.4400002458804963,0.0,115,0.0,'Substation',' ',37.71296547,-121.4775277
34,35,0.0,0.0,Butte County,0.0,0.0,66,0.0,'Substation',' ',39.48122633,-121.5654854
35,36,2.9776676168556646,0.3936288731535926,Butte County,0.34394385066739214,3.89297624,66,0.0808673757519084,'Substation',' ',39.36471317,-121.6856152
36,37,4.9724163609613425,0.4786554885866226,Butte County,0.3500735684710326,6.08556866,66,0.06403431122839336,'Substation',' ',39.47437782,-121.5747818
37,38,0.323238850740436,0.3936242054357062,Butte County,0.3439397721229226,1.23853662,66,0.2541768253761878,'Substation',' ',39.4087526,-121.6886266
38,39,0.99851889383092,0.0,Santa Barbara County,0.0,2.82212679,115,0.0,'Substation',' ',34.64326979,-120.4372802
39,40,-1.0252604272823846,0.45111458800424953,Butte County,0.439424050816939,0.0,66,0.0,'Substation',' ',39.81095374,-121.9196266
40,41,0.5397313522805267,0.47864481541937354,Butte County,0.35006576245222604,1.65285883,66,0.23575384184164758,'Substation',' ',39.38767374,-121.4031757
41,42,1.4356868564240812,0.39363153105089455,Butte County,0.34394617307688763,2.35100166,115,0.13390846514781293,'Substation',' ',39.71220645,-121.8133571
42,43,-1.3284303444903034,0.5712250481308304,Butte County,0.4177760325901043,0.0,115,0.0,'Substation',' ',39.71884016,-121.8209206
43,44,2.6483700455282064,0.5712253577228711,Butte County,0.4177762590159849,3.97680111,115,0.13955612692827088,'Substation',' ',39.72551493,-121.8470758
44,45,-1.5944659806521329,0.45019263275438104,Riverside County,0.23343997933236937,0.0,115,0.0,'Substation',' ',33.81774602,-116.3674057
45,46,-1.3672970621555902,0.5879377367269039,Butte County,0.4299991673395845,0.0,115,0.0,'Substation',' ',39.60773551,-121.7683336
46,47,5.88001128011789,0.3671968400708584,Glenn County,0.3577281615339643,6.71458554,66,0.044463014712177756,'Substation',' ',39.74641854,-122.0113693
47,48,7.988997032562858,0.4875112131979716,Butte County,0.35655036689915853,9.12274404,115,0.04431100003464926,'Substation',' ',39.7602408,-121.9070486
48,49,-1.3673027500477555,0.5879401825205348,Butte County,0.43000095611611494,0.0,66,0.0,'Substation',' ',39.50399795,-121.560155
49,50,-1.3672970621555902,0.5879377367269037,Butte County,0.42999916733958443,0.0,66,0.0,'Substation',' ',39.76066295,-121.6187304
50,51,-1.1242981309454332,0.4835049022617526,Butte County,0.42247545655925295,0.0,66,0.0,'Substation',' ',39.37824172,-121.6850945
51,52,0.0653110019905857,0.39691590793404813,Butte County,0.2902918102614554,0.988371253,115,0.27110949497224635,'Substation',' ',39.76876106,-121.8240284
52,53,1.2713673000175951,0.3936277923672068,Butte County,0.34394290630112073,2.18667341,115,0.14396893572804803,'Substation',' ',39.48676454,-121.6880242
53,54,-1.3672951381839469,0.5879369094190973,Butte County,0.4299985622726773,0.0,115,0.0,'Substation',' ',39.49170026,-121.5409467
54,55,-0.34737702311311347,0.4815709577197541,Calaveras County,0.20972873338187886,1.4983339,66,0.2583527036888184,'Substation',' ',38.16989692,-120.6672277
55,56,2.0389151411054383,0.49251142371684753,Tuolumne County,0.21093798385080542,3.9036016,115,0.10076161515896413,'Substation',' ',38.06981688,-120.4221335
56,57,-2.266990760376887,0.5914885684130643,Calaveras County,0.2575988985102458,0.0,66,0.0,'Substation',' ',38.10148065,-120.9261759
57,58,0.0,0.0,Calaveras County,0.0,0.0,115,0.0,'Substation',' ',38.0571528,-120.5339711
58,59,-2.2670151278372823,0.5914949262132448,Calaveras County,0.2576016673927077,0.0,230,0.0,'Substation',' ',37.9446466,-120.5362212
59,60,0.0,0.0,Calaveras County,0.0,0.0,115,0.0,'Substation',' ',38.14698707,-120.4464194
60,61,-2.267167769880858,0.591534752588108,Calaveras County,0.257619012157838,0.0,66,0.0,'Substation',' ',38.19974699,-120.719348
61,62,-0.9932961251616637,0.43261336181979326,Colusa County,0.43461374282782184,0.0,66,0.0,'Substation',' ',39.01747968,-122.0613948
62,63,2.7785104716459657,0.3493715670609079,Colusa County,0.3530938053904262,3.58228842,66,0.07922561815199552,'Substation',' ',39.21353467,-122.0025503
63,64,2.351790200996831,0.35220054793693345,Colusa County,0.35382910440164067,3.16045556,66,0.09053420758642862,'Substation',' ',38.96982277,-122.0433322
64,65,2.612302276203931,0.35220168241051597,Colusa County,0.35383024412096803,3.42097024,66,0.08364036018120088,'Substation',' ',38.96922396,-122.0704684
65,66,-0.9957972244828404,0.4340610182025517,Colusa County,0.4349901381831013,0.0,66,0.0,'Substation',' ',39.27695996,-122.1532889
66,67,0.7110628533721333,0.3490350935894936,Colusa County,0.35300689717657485,1.51425992,66,0.18724269233225818,'Substation',' ',39.40274718,-122.0132647
67,68,-0.9957911970559469,0.4340583908894903,Colusa County,0.4349875052462014,0.0,66,0.0,'Substation',' ',39.15748765,-122.1477121
68,69,7.481305995801408,0.6523316466473803,Contra Costa County,0.3582143202275142,8.96387792,115,0.05924651124824736,'Substation',' ',37.99392322,-122.1301156
69,70,-0.4058832648923989,0.488226204689013,Contra Costa County,0.26819751639103157,1.15291578,66,0.3626162809505942,'Substation',' ',37.81698936,-121.5871457
70,71,0.0,0.0,Contra Costa County,0.0,0.0,66,0.0,'Substation',' ',38.01132999,-121.748771
71,72,-0.3989627123641373,0.4882403514408824,Contra Costa County,0.26820528763247653,1.1598815,66,0.36045946103230786,'Substation',' ',37.88699377,-121.5769277
72,73,-2.105008714284758,0.5791835901139659,Contra Costa County,0.2521456188243247,0.0,66,0.0,'Substation',' ',38.01049965,-121.7562696
73,74,25.759612462457163,0.5913584652119859,Contra Costa County,0.25166224072704385,27.5340498,115,0.016218423357241104,'Substation',' ',38.02639867,-121.8496279
74,75,2.0209309314164368,0.6523344469767679,Contra Costa County,0.3582158579700001,3.50350922,115,0.15158602997843848,'Substation',' ',38.01420008,-122.1158065
75,76,0.0,0.0,Contra Costa County,0.0,0.0,66,0.0,'Substation',' ',38.01900393,-122.2354177
76,77,10.222868071280914,0.47611187433156976,Contra Costa County,0.20863015258478815,11.9554073,66,0.030234011654859637,'Substation',' ',37.92595616,-122.0713843
77,78,0.30529262672447177,0.48824460507244966,Contra Costa County,0.26820762428178174,1.86415042,66,0.22428315914955527,'Substation',' ',37.83870261,-121.6229064
78,79,-1.9929201188084638,0.5978827741462114,Contra Costa County,0.31349195321449613,0.0,66,0.0,'Substation',' ',37.92583801,-121.678276
79,80,1.2835403923325295,0.5911447211407233,Contra Costa County,0.30501047605620607,2.89621197,115,0.16983623116047963,'Substation',' ',38.0125913,-122.0426788
80,81,0.1815124421821377,0.4851876460329813,Contra Costa County,0.2414409991663803,1.87165235,66,0.2180261030177525,'Substation',' ',37.88525172,-121.8144465
81,82,24.385311227617997,0.5885831238753207,Contra Costa County,0.2595993259336795,26.5508306,115,0.02117324982543834,'Substation',' ',37.94410025,-121.9691071
82,83,2.0536952023627326,0.5080814121029337,Contra Costa County,0.22119152589012858,3.90028723,115,0.10472318683299477,'Substation',' ',38.02598429,-121.8633112
83,84,3.2878366063485887,0.5643076183387379,Contra Costa County,0.27099649527791847,5.25307189,66,0.10138294038577082,'Substation',' ',38.01351802,-121.815552
84,85,-0.7950052029335442,1.0443702512907596,Contra Costa County,0.3582299326383138,1.57856355,115,0.5386437400482167,'Substation',' ',38.02728725,-121.8543797
85,86,-0.20888694389970786,0.6009934392589776,Contra Costa County,0.2842915556728627,1.88077803,115,0.3158661451745265,'Substation',' ',37.8759552,-122.1870459
86,87,0.1925950561809613,0.5080772783675623,Contra Costa County,0.2211897262824031,2.03917206,115,0.20029887131452417,'Substation',' ',38.01599634,-121.7739186
87,88,8.837628263908016,0.5208928776843461,Contra Costa County,0.3438324435662599,10.0466995,66,0.04137855596767729,'Substation',' ',38.012107,-122.26433
88,89,-1.9147283365708243,0.5997056207068752,Contra Costa County,0.3294365531685798,0.0,66,0.0,'Substation',' ',37.81672046,-121.5861654
89,90,0.5173350017325136,0.6523384552376941,Contra Costa County,0.35821805902290066,1.9999224,115,0.26555509360722757,'Substation',' ',38.00163657,-122.0672557
90,91,0.4600196354760593,0.4851650240095023,Contra Costa County,0.24142974190540795,2.15008074,66,0.1897747413288227,'Substation',' ',37.90286541,-121.7226958
