Supply 06/12/2019 Effective Dec. 13,2023, the methodology for tracking natural gas data was updated. Data posted prior to that is not comparable.,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,3856,3827,3738,3721,3723,3703,3688,3698,3692,3665,3630,3575,3535,3483,3470,3460,3453,3452,3467,3487,3507,3495,3488,3507,3562,3644,3733,3734,3668,3590,3515,3475,3475,3481,3502,3490,3489,3513,3528,3507,3493,3479,3514,3561,3566,3547,3555,3519,3460,3394,3357,3310,3271,3240,3218,3205,3179,3156,3134,3130,3144,3170,3186,3201,3198,3185,3156,3120,3092,3055,3004,3004,3047,3149,3284,3449,3719,3982,4198,4473,4704,5038,5412,5783,6166,6430,6699,6913,7365,7936,8364,8749,9170,9576,9925,10140,10350,10507,10734,10909,11099,11259,11453,11610,11719,11826,11922,11993,12055,12117,12141,12251,12388,12463,12463,12457,12487,12487,12524,12561,12610,12621,12738,12904,12969,12935,12971,13001,13028,13091,13181,13184,13153,13136,13139,13157,13248,13306,13370,13392,13435,13474,13488,13494,13507,13524,13537,13551,13576,13592,13651,13712,13740,13787,13794,13757,13818,13861,13897,13924,13928,13923,13947,13969,13981,14013,13993,13986,13988,14071,14089,14083,14088,14128,14149,14144,14158,14121,14068,13994,13958,13946,13939,13921,13902,13852,13767,13697,13645,13607,13518,13499,13520,13502,13420,13367,13351,13336,13292,13203,13094,13040,12982,12950,12900,12773,12653,12532,12377,12260,12163,12017,11819,11648,11472,11314,11068,10789,10470,10283,10030,9675,9283,8887,8477,8027,7682,7420,7157,6868,6567,6312,6075,5815,5575,5362,5227,5128,5057,5005,4961,4880,4870,4903,4968,5034,5097,5165,5194,5239,5273,5325,5344,5381,5409,5441,5462,5501,5519,5533,5559,5598,5625,5663,5726,5735,5730,5682,5695,5696,5680,5676,5653,5651,5657,5665,5676,5705,5726,5715,5719,5692,5659,5649,5636,5621,5604,5607,,
Natural gas,11127,10982,10684,10714,10555,10438,10273,10118,10087,10050,9856,9766,9737,9445,9300,9245,9263,9180,9098,8986,8897,8817,8831,8779,8686,8538,8479,8140,7923,7775,7811,7839,7871,7863,7929,7815,7730,7665,7372,7282,7238,7208,7165,7189,7135,7092,7077,7074,7088,7119,7201,7244,7265,7310,7376,7470,7532,7546,7594,7641,7755,7943,7965,7962,8056,8075,8097,8165,8243,8290,8309,8294,8277,8365,8323,8384,8289,8207,8048,7999,7902,7770,7576,7510,7544,7431,7540,7580,7460,7443,7409,7245,6921,6660,6561,6483,6425,6430,6541,6568,6493,6382,6364,6376,6330,6294,6286,6382,6498,6571,6578,6535,6576,6816,7050,7127,7349,7441,7567,7771,8060,8057,8142,8248,8338,8317,8375,8688,8850,8800,8883,8928,8996,8938,8883,8858,8610,8621,8804,8919,9036,9112,9154,9224,9586,9849,9999,10088,10155,10183,10298,10563,10758,10889,11104,11235,11417,11586,11656,11797,12080,12211,12408,12499,12605,12695,12774,12980,13174,13090,13222,13375,13374,13362,13371,13544,13728,13954,14156,14317,14467,14388,14391,14479,14547,14636,14699,14754,15041,15266,15413,15493,15467,15126,15080,15119,15171,15343,15489,15553,15589,15688,15854,15939,15836,15758,15692,15650,15933,16113,16205,16348,16394,16450,16516,16508,16535,16544,16611,16607,16898,17138,17237,17465,17705,18148,17962,17710,17742,17644,17840,18110,18239,18278,18273,18261,18236,18113,18015,18076,17951,17743,17385,17195,16933,16896,16743,16618,16394,16179,15985,15971,16254,16234,16249,16207,16121,15975,15779,15373,15052,14827,14644,14358,14123,13499,13125,13071,12802,12468,12195,11789,11398,11099,10715,10524,10305,10181,10139,9999,9812,9766,9617,9439,9175,8954,8741,8440,,
Large hydro,4598,4524,4424,4401,4438,4442,4436,4384,4371,4416,4514,4532,4532,4409,4358,4355,4345,4339,4327,4320,4321,4318,4324,4309,4277,4185,4132,4192,4287,4291,4253,4237,4222,4193,4174,4179,4149,4154,4216,4223,4228,4230,4205,4205,4219,4228,4233,4236,4252,4273,4336,4350,4343,4346,4344,4361,4369,4364,4368,4361,4348,4394,4506,4566,4590,4595,4593,4593,4596,4591,4592,4572,4484,4457,4414,4407,4397,4397,4398,4405,4415,4410,4392,4372,4347,4306,4241,4254,4216,4153,4099,4094,4120,4104,4154,4185,4112,4105,4062,4051,4030,4031,4041,4056,4066,4078,4074,4060,4026,4045,4078,4081,4076,3818,3786,3656,3614,3625,3633,3629,3629,3612,3483,3378,3459,3527,3551,3480,3486,3539,3521,3528,3515,3666,3749,3765,4108,4098,4075,4057,4063,4088,4093,4069,4055,4110,4172,4203,4215,4235,4267,4211,4193,4205,4212,4182,4185,4296,4353,4370,4361,4363,4369,4373,4372,4378,4384,4385,4381,4393,4438,4424,4442,4451,4460,4465,4487,4505,4489,4481,4498,4639,4766,4816,4853,4876,4879,4887,4878,4868,4867,4871,4913,5074,5109,5108,5111,5116,5116,5104,5109,5105,5086,5068,5150,5191,5271,5251,5112,5071,5054,5113,5199,5224,5223,5241,5177,5009,4960,4965,4982,5007,5007,5003,5098,5260,5914,5949,5953,5814,5285,4999,4938,5009,5055,5130,5183,5171,4968,4924,4925,5004,5142,5157,5159,5098,5089,5099,5101,5112,5107,5063,5040,5059,5063,5032,4987,4974,4977,4997,5021,5018,5008,5001,5006,4994,4943,4923,4907,4905,4915,4909,4919,4924,4930,4924,4800,4676,4682,4560,4559,4525,4431,4417,4416,4418,4426,4424,,
Imports,7499,7614,7909,7859,7830,7771,7747,7773,7701,7579,7540,7467,7407,7689,7805,7763,7614,7584,7591,7665,7650,7622,7509,7395,7340,7375,7378,7554,7511,7545,7621,7552,7444,7443,7393,7390,7418,7475,7580,7633,7626,7626,7612,7567,7518,7520,7492,7508,7548,7602,7584,7554,7593,7592,7563,7507,7459,7500,7515,7528,7520,7513,7611,7635,7626,7694,7699,7795,7823,7780,7832,7866,8009,8114,8217,8198,8213,8156,8029,7963,7920,7782,7742,7571,7289,7263,7180,7044,6851,6568,6380,6233,6145,6069,5864,5757,5702,5707,5582,5496,5467,5475,5359,5246,5262,5221,5215,5092,5022,4950,5051,5066,5011,5121,5128,5273,5234,5259,5214,5107,4954,5010,5181,5159,5067,5072,4996,4877,4853,4900,4819,4928,4883,4807,4698,4849,4566,4420,4366,4431,4384,4240,4306,4278,4010,3788,3696,3678,3640,3729,3571,3498,3499,3446,3213,3252,3178,3083,3001,2891,2808,2823,2720,2744,2720,2694,2715,2686,2583,2669,2594,2573,2695,2769,2789,2724,2636,2557,2496,2551,2554,2572,2600,2602,2603,2643,2745,2833,2687,2599,2648,2692,2782,3033,3108,3233,3267,3132,3056,3164,3226,3226,3255,3276,3311,3385,3535,3660,3640,3694,3800,3802,3865,3934,3977,4148,4360,4622,4790,4938,4828,4910,5144,5287,5331,5173,5037,5259,5377,5696,6041,6264,6376,6415,6457,6521,6560,6598,6711,6759,6784,6898,7085,7088,7240,7208,7219,7171,7223,7259,7296,7179,6732,6455,6207,6093,6047,5959,5915,6071,6071,6082,6061,6019,5902,6185,6279,6176,6243,6346,6363,6473,6588,6651,6660,6603,6584,6611,6506,6504,6445,6370,6479,6444,6431,6469,6459,6487,,
Batteries,-6,8,8,-1,0,1,8,2,0,-1,-1,-1,-1,2,15,-1,-2,-1,-27,-80,-93,-93,-88,-83,-83,-81,-78,-34,70,44,-6,-6,-6,-53,-81,-60,-67,-44,-1,-2,-1,-2,-14,-20,-4,-2,-2,-4,-11,-5,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-10,-5,11,41,50,8,-1,-1,-1,-2,-1,-2,-60,-42,-58,-24,-66,-68,-17,-24,-11,-27,-17,-32,-37,-4,13,56,14,-46,-47,-37,-37,-21,-29,-6,-25,-4,-4,-4,-4,-3,-4,-4,-2,14,11,0,-19,-16,-1,-1,-7,1,5,0,0,0,0,-20,-54,5,0,-30,-8,-6,-10,-27,0,-1,-38,1,1,1,6,13,35,20,6,-21,-2,9,12,6,-7,-11,-6,9,-19,19,11,-7,-29,-26,-15,-21,-11,-1,-11,-3,-20,-13,-3,-22,8,-10,9,-1,-11,7,-3,-11,-4,-2,0,17,34,47,29,16,-2,-17,-30,-22,-2,0,0,6,0,-6,-2,-11,-21,-22,-20,-14,-7,-8,-12,-9,-1,-1,-1,-11,-13,-18,-18,-14,15,-2,-7,-10,-10,-10,-17,-17,-6,-1,-1,-1,2,3,3,3,3,67,-3,3,3,3,2,3,3,3,3,2,-2,3,3,3,3,1,1,2,1,-1,-3,-5,-5,-5,-6,-5,-3,36,55,47,26,30,27,52,46,22,-20,15,-19,17,-6,-9,-14,-16,-18,-10,5,13,39,61,9,58,-29,-2,32,-56,-95,-25,-3,1,25,17,,
Nuclear,2260,2261,2261,2260,2261,2260,2260,2261,2261,2261,2261,2261,2261,2262,2262,2262,2263,2263,2262,2263,2262,2262,2261,2261,2260,2261,2260,2261,2259,2261,2261,2261,2261,2261,2261,2262,2261,2261,2261,2261,2261,2260,2260,2260,2261,2261,2259,2261,2261,2261,2261,2261,2262,2261,2262,2262,2262,2262,2262,2262,2262,2262,2261,2262,2262,2260,2261,2261,2261,2261,2261,2263,2262,2263,2263,2263,2262,2263,2264,2263,2263,2263,2264,2264,2265,2264,2264,2263,2263,2263,2262,2262,2263,2263,2263,2264,2264,2263,2262,2263,2264,2264,2264,2265,2264,2265,2265,2265,2266,2266,2266,2266,2265,2266,2266,2266,2267,2266,2266,2266,2265,2264,2263,2261,2260,2260,2259,2257,2256,2257,2256,2256,2256,2255,2256,2255,2256,2254,2253,2253,2254,2253,2254,2254,2253,2254,2254,2253,2253,2253,2253,2254,2253,2254,2254,2255,2257,2256,2256,2256,2257,2257,2257,2259,2259,2259,2258,2260,2260,2259,2259,2257,2259,2259,2259,2260,2259,2259,2259,2258,2259,2260,2260,2261,2262,2262,2262,2261,2261,2262,2263,2262,2261,2262,2261,2262,2264,2264,2263,2264,2264,2264,2264,2264,2265,2265,2266,2266,2265,2265,2266,2266,2266,2266,2267,2266,2266,2266,2266,2265,2267,2267,2267,2268,2268,2267,2268,2268,2268,2269,2269,2268,2267,2267,2265,2264,2263,2263,2263,2262,2262,2262,2261,2261,2260,2259,2261,2260,2261,2261,2260,2260,2261,2260,2261,2261,2261,2261,2261,2261,2261,2261,2262,2261,2261,2261,2261,2261,2261,2261,2261,2262,2262,2262,2262,2262,2263,2262,2263,2263,2262,2263,2263,2263,2263,2264,2263,2264,,
Coal,9,9,9,9,9,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,9,8,8,8,8,8,8,8,8,8,9,9,9,8,8,9,9,10,10,9,9,9,9,8,9,9,10,13,10,10,10,11,10,10,9,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,12,13,12,12,12,12,12,12,12,11,12,12,12,11,11,12,12,12,12,12,12,12,12,12,12,11,12,12,11,12,12,12,12,12,12,10,9,9,9,9,9,9,9,10,9,9,9,8,9,10,10,10,11,11,11,10,10,10,10,10,11,11,12,11,11,10,11,11,10,10,10,10,10,10,10,10,9,8,8,9,8,7,7,9,9,9,9,9,9,9,9,9,8,8,7,7,7,6,7,7,7,7,6,6,5,7,7,7,7,6,7,7,7,8,8,7,8,8,8,9,9,9,9,9,8,8,8,7,7,7,7,7,6,7,7,7,7,6,7,7,7,8,7,7,6,6,7,7,7,7,6,6,7,7,7,8,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,8,7,8,8,8,7,8,8,7,6,7,7,8,8,9,9,8,9,8,9,8,8,8,9,8,9,8,8,8,7,7,7,7,7,7,7,7,6,7,9,9,,
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,113,240,364,533,791,1066,1306,1581,1807,2135,2524,2922,3330,3610,3894,4161,4625,5216,5662,6058,6474,6862,7199,7429,7663,7827,8057,8244,8419,8559,8742,8892,8997,9116,9212,9310,9407,9498,9531,9638,9781,9866,9875,9875,9927,9953,10024,10060,10098,10088,10165,10303,10361,10319,10345,10386,10423,10486,10595,10617,10578,10565,10581,10594,10689,10769,10820,10840,10897,10935,10936,10941,10950,10976,10993,10992,10984,10977,10979,10984,10979,10982,10952,10896,10902,10931,10975,10982,10966,10960,10949,10922,10924,10917,10879,10862,10858,10858,10879,10847,10856,10850,10815,10796,10774,10742,10710,10663,10596,10528,10516,10489,10460,10409,10347,10304,10284,10254,10172,10094,10069,10031,9957,9916,9860,9788,9693,9571,9429,9348,9259,9149,9023,8887,8740,8599,8471,8350,8247,8087,7864,7672,7458,7260,6981,6657,6267,6055,5781,5427,5001,4578,4170,3763,3399,3040,2727,2412,2083,1799,1512,1207,925,702,518,381,279,199,142,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,,
Wind,1879,1854,1822,1806,1808,1789,1776,1787,1779,1753,1720,1675,1651,1604,1589,1577,1568,1571,1586,1605,1621,1614,1607,1624,1682,1758,1848,1842,1779,1697,1624,1583,1582,1593,1612,1599,1600,1627,1643,1619,1603,1588,1624,1671,1674,1659,1664,1628,1570,1504,1464,1417,1379,1348,1327,1310,1282,1256,1232,1225,1239,1263,1279,1293,1296,1284,1254,1217,1190,1150,1096,1064,1030,993,969,960,973,959,933,936,942,946,926,897,869,856,844,788,775,759,744,733,738,752,763,747,725,722,717,706,722,738,752,758,761,753,751,738,732,709,705,707,702,695,690,686,663,636,600,603,613,625,640,666,673,686,694,676,666,665,645,620,627,626,612,615,612,590,604,612,598,600,614,618,621,616,614,627,658,678,736,790,825,868,909,927,982,1001,995,1016,1038,1042,1076,1118,1122,1162,1176,1183,1188,1272,1268,1293,1291,1333,1387,1396,1431,1425,1408,1383,1414,1469,1473,1488,1496,1491,1464,1433,1408,1434,1427,1455,1498,1509,1500,1489,1533,1589,1639,1671,1708,1735,1768,1826,1835,1847,1874,1894,1910,1914,1915,1931,1958,1977,2017,2055,2091,2134,2182,2206,2231,2231,2263,2291,2285,2247,2265,2362,2411,2435,2466,2490,2538,2586,2624,2635,2686,2730,2767,2794,2809,2838,2865,2899,2940,2988,3028,3085,3112,3160,3199,3244,3259,3296,3322,3357,3377,3416,3436,3450,3469,3506,3536,3571,3634,3648,3659,3644,3655,3656,3639,3643,3618,3615,3620,3628,3641,3665,3685,3676,3679,3654,3624,3617,3600,3588,3582,3586,,
