Supply 06/17/2019 Effective Dec. 13,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Renewables,6463,6432,6401,6367,6346,6340,6278,6246,6218,6200,6210,6195,6182,6157,6119,6038,5967,5932,5923,5907,5870,5832,5783,5691,5593,5488,5344,5238,5175,5067,4995,4942,4905,4898,4870,4799,4731,4691,4670,4660,4675,4692,4701,4706,4691,4675,4648,4627,4625,4633,4675,4724,4712,4693,4714,4694,4656,4653,4652,4604,4605,4635,4767,4906,4996,4999,4949,4855,4862,4845,4792,4759,4742,4729,4777,4862,5019,5143,5291,5578,5898,6234,6414,6631,6830,7079,7261,7568,7899,8208,8536,8825,9084,9339,9533,9780,9983,10253,10496,10648,10714,10887,11088,11324,11526,11703,11837,11851,11906,11945,11994,12043,12082,12124,12157,12239,12284,12346,12435,12525,12595,12699,12784,12886,12968,13036,13117,13204,13252,13265,13298,13373,13476,13546,13594,13633,13622,13603,13618,13604,13626,13634,13643,13629,13642,13664,13678,13679,13708,13732,13733,13748,13732,13743,13764,13785,13824,13850,13868,13874,13899,13938,13960,13951,14006,14041,14046,14025,13970,13946,13953,14022,14094,14186,14227,14203,14162,14177,14205,14137,14170,14165,14156,14084,14046,14015,13976,13969,14045,14131,14048,13937,13830,13871,14046,14155,14089,14073,14081,14184,14198,14159,13994,13852,13742,13569,13324,13200,13070,12968,12866,12770,12537,12200,11957,11694,11346,10951,10571,10208,9934,9627,9344,8994,8541,8177,7817,7526,7371,7197,7039,6900,6701,6516,6409,6243,6078,5940,5832,5785,5771,5763,5772,5783,5791,5847,5894,5856,5859,5850,5838,5894,5995,6018,6028,5981,5987,5962,5902,5811,5759,5673,5616,5590,5562,5505,5415,5356,5350,5397,5396,5376,5381,5335,5286,5226,5224,5168,5129,5185,5196,5215,5214,5198,5182,5167,5163,5122
Natural gas,4379,4316,4031,3737,3522,3490,3410,3405,3390,3350,3219,3177,3151,3015,2987,3028,3075,3087,3082,3055,3084,3017,2968,2907,2824,2850,2900,2970,3067,3093,3085,3090,3172,3217,3297,3396,3351,3364,3347,3336,3318,3380,3412,3395,3412,3387,3389,3377,3373,3396,3293,3318,3338,3332,3602,3744,3638,3623,3758,3756,3822,3855,3823,3625,3547,3576,3637,3469,3516,3643,3611,3497,3540,3610,3419,3328,3524,3701,3766,3635,3507,3331,3295,3339,3514,3709,3877,3899,3841,3675,3522,3486,3442,3388,3386,3364,3339,3372,3533,3514,3443,3438,3418,3442,3437,3405,3467,3465,3471,3382,3412,3443,3414,3403,3499,3564,3638,3685,3714,3751,3721,3666,3611,3700,3806,3846,3800,3761,3702,3712,3723,3816,3853,3936,3905,3894,3851,3903,3983,4025,4002,3997,4016,3991,4039,4080,4075,4105,4148,4184,4250,4307,4481,4522,4531,4560,4578,4564,4605,4671,4723,4694,4720,4711,4815,4837,4812,4931,4947,5082,5079,4890,4837,4908,4950,4945,5080,5105,5116,5210,5122,5088,5102,5146,5199,5243,5270,5211,5275,5236,5248,5430,5565,5506,5461,5415,5627,5664,5703,5704,5833,5822,5945,5874,5929,5889,5741,5724,5910,6030,6259,6323,6400,6425,6569,6850,7110,6953,6801,6921,7086,7403,7666,7753,7970,8230,8422,8541,8564,8681,8663,8736,8705,8835,8797,8943,9020,9041,9060,8997,9060,9061,9107,9058,9317,9261,9207,9268,9324,9293,9250,9223,9147,8980,8919,8977,8783,8685,8680,8505,8263,8247,8307,8292,8246,7965,8055,8006,7799,7627,7595,7563,7502,7406,7313,7229,7119,6941,6924,6716,6647,6620,6564,6464,6374,6326,6168,5957
Large hydro,3984,4049,4006,4073,4101,4092,4076,4059,4023,4030,4051,4061,4025,3833,3779,3760,3754,3749,3744,3736,3749,3753,3765,3771,3766,3769,3780,3774,3757,3775,3793,3773,3804,3776,3738,3736,3769,3777,3784,3805,3786,3777,3758,3755,3746,3749,3765,3757,3707,3707,3713,3697,3703,3737,3633,3647,3770,3778,3773,3796,3791,3934,4074,4150,4172,4192,4228,4251,4237,4208,4233,4237,4209,4140,4114,4096,4087,4028,3978,3991,3972,3911,3951,4025,3997,3964,3982,3977,3956,3969,3942,3935,3955,3955,3969,3940,3821,3607,3506,3518,3536,3541,3536,3537,3551,3543,3516,3553,3560,3587,3571,3528,3566,3584,3583,3577,3464,3433,3355,3308,3298,3265,3063,2898,2768,2904,3070,3298,3487,3519,3512,3504,3484,3477,3476,3475,3484,3487,3491,3513,3517,3518,3522,3533,3524,3552,3600,3612,3632,3628,3612,3607,3590,3577,3583,3582,3597,3715,3814,3812,3882,3872,3871,3839,3807,3781,3861,3953,3960,4095,4185,4202,4200,4201,4192,4146,4112,4148,4117,4140,4167,4281,4327,4355,4391,4388,4396,4359,4362,4338,4357,4399,4402,4543,4541,4520,4570,4610,4633,4600,4582,4568,4609,4628,4682,4821,4884,4895,4867,4807,4747,4681,4697,4784,4861,4845,4862,4997,5067,5106,5090,5071,5081,5081,5115,5169,5206,5237,5210,5360,5371,5288,5152,5320,5383,5362,5375,5394,5423,5368,5369,5372,5376,5373,5342,5264,5254,5254,5262,5156,5014,5007,5024,5021,5018,5031,5040,5008,4960,5032,5057,4969,4900,4893,4901,4772,4712,4704,4702,4685,4666,4640,4651,4645,4655,4651,4567,4355,4263,4236,4218,4205,4175,4181,4184,4178,4178,4221
Imports,5831,5869,6212,6483,6551,6481,6554,6593,6545,6562,6532,6439,6437,6604,6697,6705,6650,6632,6581,6577,6528,6536,6554,6621,6770,6823,6883,6879,6838,6877,6924,6938,6884,6791,6816,6791,6832,6824,6868,6827,6820,6836,6833,6774,6794,6753,6787,6852,6959,7012,7120,7141,7139,7136,6992,6997,6956,6948,6888,6912,6984,7043,7109,7142,7202,7301,7305,7524,7548,7552,7672,7753,7955,8267,8711,8918,8689,8634,8592,8588,8541,8508,8373,8070,7778,7609,7347,7195,7095,6965,6865,6753,6553,6345,6125,6017,5997,6015,5898,5812,5765,5619,5462,5272,5109,4929,4815,4721,4702,4669,4648,4653,4649,4612,4536,4410,4299,4335,4338,4267,4303,4246,4320,4369,4314,4159,3995,3793,3600,3491,3455,3350,3253,3138,3101,3095,3120,3099,3024,2945,2969,2940,2957,2986,2911,2904,2890,2864,2779,2762,2789,2801,2762,2740,2768,2820,2836,2813,2656,2686,2676,2746,2813,2881,2814,2863,2861,2744,2746,2530,2447,2534,2659,2553,2571,2638,2556,2574,2629,2760,2860,2824,2781,2831,2877,2979,3066,3144,3143,3189,3242,3195,3265,3090,3042,3117,2994,3028,3064,3138,3217,3249,3289,3559,3680,3780,4024,4218,4399,4633,4724,4779,4976,5148,5274,5348,5518,5868,6208,6470,6640,6818,6874,7126,7347,7418,7636,7776,7953,7879,8060,8192,8514,8569,8522,8555,8598,8741,8757,8865,8865,8878,8864,8901,8736,8675,8685,8722,8734,8758,8804,8794,8723,8782,8733,8579,8629,8611,8633,8718,8726,8736,8736,8625,8520,8614,8459,8347,8450,8387,8213,8055,7866,7773,7730,7649,7590,7742,7780,7774,7674,7473,7422,7359,7291,7186,7189,7210
Batteries,16,49,-50,-16,4,5,-18,-32,-48,-36,-18,4,5,39,11,5,5,5,5,-8,-2,5,22,46,7,7,13,7,5,5,14,6,5,-7,-35,-47,5,5,5,4,-25,-59,-41,-30,-44,-15,-11,-13,-42,-49,-50,-55,-45,-36,-50,-46,10,-6,-8,-3,-19,6,1,3,0,0,72,104,90,31,68,83,0,-6,4,6,-18,-76,-88,-85,-88,-84,0,3,-38,0,2,-5,-30,3,-16,-20,-20,-11,-1,-9,-8,-60,-28,-22,0,0,-6,-14,-3,-4,-20,-4,0,0,-2,0,0,0,5,0,-33,-33,-38,-43,-18,-5,-14,-17,-1,-7,-10,0,6,42,2,0,-22,1,5,4,5,5,-15,5,5,5,5,5,2,0,0,17,18,19,0,0,0,-1,0,0,0,0,-14,-30,0,-41,-41,-38,-17,-33,4,2,0,0,0,6,0,-4,-27,5,-4,-8,5,-11,-13,6,-12,5,-1,-9,-3,-9,5,-10,-4,-1,0,-2,-17,-4,10,15,14,-32,-44,-3,-5,9,0,39,104,46,-12,-75,-94,-34,-18,5,0,-1,4,16,19,66,39,17,26,24,52,66,58,69,37,-4,-20,22,31,31,31,26,28,38,48,58,33,35,38,32,31,26,23,13,22,31,29,28,25,27,23,12,28,18,1,49,72,26,-3,-5,12,79,91,17,4,-4,-9,-15,0,0,-1,0,5,27,-3,3,-1,-6,-3,-1,0,0,0,29
Nuclear,2271,2272,2271,2272,2272,2272,2272,2272,2272,2272,2273,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2272,2270,2270,2270,2271,2270,2271,2270,2271,2270,2271,2270,2270,2270,2270,2270,2270,2270,2269,2270,2268,2268,2268,2268,2267,2267,2267,2267,2267,2268,2268,2268,2268,2268,2267,2266,2268,2267,2267,2266,2268,2267,2268,2268,2267,2267,2267,2267,2267,2266,2267,2266,2266,2267,2267,2267,2267,2267,2267,2268,2267,2266,2268,2267,2269,2269,2268,2268,2269,2269,2269,2270,2270,2270,2270,2270,2270,2270,2270,2271,2270,2271,2270,2271,2271,2271,2271,2272,2272,2272,2272,2273,2272,2272,2272,2273,2272,2272,2271,2272,2272,2273,2272,2273,2272,2273,2272,2271,2271,2271,2271,2269,2270,2270,2270,2270,2269,2270,2270,2269,2270,2270,2270,2270,2269,2270,2270,2270,2271,2271,2271,2271,2271,2271,2272,2272,2270,2271,2271,2272,2272,2271,2272,2272,2272,2272,2272,2272,2272,2272,2271,2272,2271,2271,2271,2270,2270,2270,2269,2269,2268,2267,2267,2267,2267,2267,2267,2267,2267,2267,2268,2267,2268,2267,2267,2267,2268,2268,2267,2268,2268,2267,2268,2267,2268,2268,2269,2269,2269,2269,2270,2269,2268,2268,2268,2268,2270,2271,2269,2269,2269,2269,2270,2269,2270,2271,2271,2271,2270,2270,2271,2271,2271,2270,2270,2270,2270,2270,2270,2270,2270,2269,2270,2270,2270,2271,2270,2271,2271,2270,2271,2270,2270,2270,2271,2270,2270,2270,2270,2271,2271,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2269,2269,2270,2269,2270,2270,2269,2270,2271,2270,2270,2270
Coal,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,14,15,15,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,15,14,15,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,14,14,14,13,13,13,14,14,13,13,13,13,13,13,12,13,14,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,13,14,14,14,15,14,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,16,16,17,16,16,15,15,15,15,16,15,14,14,14,14,14,15,15,15,15,16,15,15,15,15,16,15,15,14,15,15,14,15,14,14,14,14,13,13,13,12,12,12,12,11,12,12,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,13,10,11,12,9,10,11,11,11,11,12,11,11,12,12,12,12,12,12,12,11,13,13,13,13,13,13,13,12,12,13,13,13,13,13,13,13,13,14,14,14,13,13,13,13,14,14,13,13,12,13,13,13,14,13,13,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,13,12,12,12,11,11,11,11,11,12,10,11,11,12
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,134,241,356,494,709,911,1149,1436,1695,2009,2256,2530,2781,3095,3445,3802,4186,4575,4965,5303,5599,5885,6096,6372,6629,6942,7252,7482,7613,7832,8053,8319,8561,8751,8906,8999,9091,9169,9227,9297,9354,9406,9454,9542,9594,9653,9736,9813,9861,9931,10014,10104,10180,10251,10323,10410,10459,10478,10511,10579,10654,10704,10750,10793,10806,10799,10843,10851,10884,10911,10933,10950,10962,10992,11004,11007,11030,11041,11051,11058,11056,11051,11043,11044,11049,11048,11043,11048,11033,11035,11021,11002,11021,11017,11000,10982,10941,10914,10875,10874,10887,10929,10932,10890,10853,10827,10789,10702,10737,10724,10662,10564,10496,10459,10394,10330,10317,10319,10171,9992,9793,9699,9796,9831,9708,9604,9516,9486,9457,9374,9197,9020,8882,8692,8380,8177,7944,7776,7551,7355,7060,6694,6474,6203,5856,5423,5068,4781,4473,4188,3874,3514,3108,2784,2461,2162,1929,1662,1443,1253,1043,848,742,599,445,315,204,115,63,26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Wind,4479,4445,4412,4375,4355,4349,4289,4255,4230,4213,4225,4210,4197,4166,4130,4051,3980,3949,3939,3926,3894,3859,3809,3715,3616,3507,3362,3254,3190,3079,3003,2955,2919,2916,2890,2838,2789,2751,2731,2721,2735,2755,2765,2769,2758,2740,2712,2694,2694,2689,2704,2754,2744,2724,2744,2724,2686,2681,2679,2628,2629,2660,2710,2784,2873,2874,2823,2727,2736,2717,2659,2583,2484,2369,2297,2235,2179,2100,2014,2014,2071,2091,2023,1964,1916,1848,1784,1730,1677,1601,1539,1487,1456,1424,1409,1380,1328,1282,1235,1183,1120,1073,1055,1022,985,972,949,886,862,833,829,811,792,784,768,764,759,763,770,782,807,837,843,856,864,870,881,879,877,869,870,880,910,920,918,913,891,880,850,827,815,797,783,755,758,749,753,747,755,771,764,773,759,778,806,826,861,885,906,904,940,984,1018,1028,1065,1107,1132,1130,1117,1104,1109,1166,1222,1272,1312,1329,1325,1367,1437,1454,1452,1460,1496,1526,1556,1560,1588,1646,1721,1802,1866,1930,1988,2076,2136,2200,2261,2347,2443,2574,2620,2666,2681,2713,2741,2758,2824,2902,3004,3074,3196,3297,3356,3384,3364,3371,3329,3363,3337,3262,3297,3279,3309,3316,3269,3233,3193,3204,3281,3376,3439,3488,3498,3509,3506,3480,3474,3462,3459,3500,3536,3566,3599,3611,3617,3672,3722,3687,3691,3682,3669,3726,3825,3846,3859,3811,3817,3788,3734,3639,3585,3501,3444,3419,3396,3358,3294,3275,3277,3326,3326,3307,3313,3264,3213,3153,3145,3137,3151,3206,3220,3241,3235,3221,3209,3191,3187,3141
