Lon,Lat,NAMELSAD
-122.2429162,37.77243572,Alameda County
-121.6259513,37.77848161,Alameda County
-121.6772083,37.7483765,Alameda County
-122.0612774,37.69128098,Alameda County
-122.0174353,37.59578193,Alameda County
-123.5091868,40.09403073,Trinity County
-122.05794,37.55699202,Alameda County
-122.1937991,37.73868954,Alameda County
-121.9394285,37.49369132,Alameda County
-122.1595387,37.67126804,Alameda County
-122.245764,37.876174,Alameda County
-121.8318768,37.66794608,Alameda County
-122.0174915,37.59531056,Alameda County
-121.9070045,37.70853376,Alameda County
-121.7805048,37.68002781,Alameda County
-121.8938504,37.71164362,Alameda County
-121.859528,37.67255501,Alameda County
-121.6199438,37.79905699,Alameda County
-122.1481883,37.71062477,Alameda County
-122.2144948,37.76299826,Alameda County
-121.869684,37.58690266,Alameda County
-121.842671,37.60924399,Alameda County
-121.7158749,37.71111924,Alameda County
-121.8544376,37.66968929,Alameda County
-120.822098,38.408767,Amador County
-120.9349804,38.34219061,Amador County
-120.9575497,38.37390104,Amador County
-120.9138995,38.27717343,Amador County
-120.796754,38.36910799,Amador County
-120.8054803,38.36863575,Amador County
-120.8449436,38.48076425,Amador County
-120.2184202,38.4984199,Amador County
-120.6602339,38.4127977,Amador County
-121.4775277,37.71296547,San Joaquin County
-121.5654854,39.48122633,Butte County
-121.6856152,39.36471317,Butte County
-121.5747818,39.47437782,Butte County
-121.6886266,39.4087526,Butte County
-120.4372802,34.64326979,Santa Barbara County
-121.9196266,39.81095374,Butte County
-121.4031757,39.38767374,Butte County
-121.8133571,39.71220645,Butte County
-121.8209206,39.71884016,Butte County
-121.8470758,39.72551493,Butte County
-116.3674057,33.81774602,Riverside County
-121.7683336,39.60773551,Butte County
-122.0113693,39.74641854,Glenn County
-121.9070486,39.7602408,Butte County
-121.560155,39.50399795,Butte County
-121.6187304,39.76066295,Butte County
-121.6850945,39.37824172,Butte County
-121.8240284,39.76876106,Butte County
-121.6880242,39.48676454,Butte County
-121.5409467,39.49170026,Butte County
-120.6672277,38.16989692,Calaveras County
-120.4221335,38.06981688,Tuolumne County
-120.9261759,38.10148065,Calaveras County
-120.5339711,38.0571528,Calaveras County
-120.5362212,37.9446466,Calaveras County
-120.4464194,38.14698707,Calaveras County
-120.719348,38.19974699,Calaveras County
-122.0613948,39.01747968,Colusa County
-122.0025503,39.21353467,Colusa County
-122.0433322,38.96982277,Colusa County
-122.0704684,38.96922396,Colusa County
-122.1532889,39.27695996,Colusa County
-122.0132647,39.40274718,Colusa County
