PlantCode,GenID,bus,FuelType,Pg,Pmax,Pmin,Qg,Qmax,Qmin,Lat,Lon
34,1P,745,Conventional Hydroelectric,4.0333628,12.1,0,0,18.7771429,-14.6707143,39.134259,-120.953341
161,1,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,-120.594678
161,2,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,-120.594678
161,3,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,-120.594678
162,1,1360,Conventional Hydroelectric,0.166667613,0.5,0,0,18.7771429,-14.6707143,37.621536,-120.746247
162,2,1360,Conventional Hydroelectric,0.166667613,0.5,0,0,18.7771429,-14.6707143,37.621536,-120.746247
180,1,1745,Conventional Hydroelectric,0.333335524,1.0,0,0,18.7771429,-14.6707143,40.45193,-121.86215
214,1,744,Conventional Hydroelectric,0.333335524,1.0,0,0,18.7771429,-14.6707143,39.215979,-120.80355
215,1,1587,Conventional Hydroelectric,0.466669881,1.4,0,0,18.7771429,-14.6707143,38.071944,-120.539444
219,1,8022,Conventional Hydroelectric,39.30029,117.9,0,0,57.1,-39.3,40.007445,-121.249438
220,H1,2220,Conventional Hydroelectric,11.0000809,33.0,0,0,0.0,0.0,39.91062,-121.327692
220,H2,2220,Conventional Hydroelectric,11.0000809,33.0,0,0,0.0,0.0,39.91062,-121.327692
221,1,1748,Conventional Hydroelectric,13.3334314,40.0,0,0,19.4,-13.3,40.175656,-121.190663
222,1,8542,Conventional Hydroelectric,7.93339151,23.8,0,0,11.5,-7.9,40.085476,-121.148241
222,2,8542,Conventional Hydroelectric,8.33339446,25.0,0,0,12.1,-8.3,40.085476,-121.148241
222,3,8542,Conventional Hydroelectric,8.33339446,25.0,0,0,12.1,-8.3,40.085476,-121.148241
223,4,8542,Conventional Hydroelectric,20.1001481,60.3,0,0,29.2,-20.1,40.085997,-121.149373
223,5,8542,Conventional Hydroelectric,19.2001415,57.6,0,0,27.9,-19.2,40.085997,-121.149373
227,1,1743,Conventional Hydroelectric,4.0333628,12.1,0,0,18.7771429,-14.6707143,40.404645,-122.121904
229,1,1735,Conventional Hydroelectric,0.233334754,0.7,0,0,18.7771429,-14.6707143,40.570817,-122.02093
229,2,1735,Conventional Hydroelectric,0.233334754,0.7,0,0,18.7771429,-14.6707143,40.570817,-122.02093
235,1,8578,Conventional Hydroelectric,4.00002922,12.0,0,0,5.95,-4.1,39.256873,-120.767437
235,2,8578,Conventional Hydroelectric,4.00002922,12.0,0,0,5.95,-4.1,39.256873,-120.767437
235,3,8578,Conventional Hydroelectric,4.00002922,12.0,0,0,5.95,-4.1,39.256873,-120.767437
235,4,8578,Conventional Hydroelectric,4.40003218,13.2,0,0,5.95,-4.1,39.256873,-120.767437
237,1,744,Conventional Hydroelectric,7.33338707,22.0,0,0,16.5,-7.3,39.216985,-120.835587
238,1,106,Conventional Hydroelectric,3.33335758,10.0,0,0,7.5,-3.35,38.793574,-120.619152
238,2,106,Conventional Hydroelectric,3.33335758,10.0,0,0,7.5,-3.35,38.793574,-120.619152
239,1,7778,Conventional Hydroelectric,10.7667458,32.3,0,0,15.6,-10.8,38.330985,-120.669901
239,2,7778,Conventional Hydroelectric,11.700086,35.1,0,0,17.0,-11.7,38.330985,-120.669901
239,3,7778,Conventional Hydroelectric,11.700086,35.1,0,0,17.0,-11.7,38.330985,-120.669901
240,H1,1634,Conventional Hydroelectric,22.5001659,67.5,0,0,32.7,-22.5,36.927424,-119.02025
240,H2,1634,Conventional Hydroelectric,22.5001659,67.5,0,0,32.7,-22.5,36.927424,-119.02025
241,1,749,Conventional Hydroelectric,4.53336649,13.6,0,0,18.7771429,-14.6707143,38.956985,-121.041932
242,1,339,Conventional Hydroelectric,0.86667277,2.6,0,0,18.7771429,-14.6707143,40.268712,-121.089479
242,2,339,Conventional Hydroelectric,0.900006343,2.7,0,0,18.7771429,-14.6707143,40.268712,-121.089479
243,1,1286,Conventional Hydroelectric,3.33335761,10.0,0,0,18.7771429,-14.6707143,40.929297,-121.544462
244,1,8427,Conventional Hydroelectric,3.33335761,10.0,0,0,18.7771429,-14.6707143,40.960675,-121.548657
248,1,1746,Conventional Hydroelectric,2.53335168,7.6,0,0,18.7771429,-14.6707143,40.400988,-121.965502
249,1,1728,Conventional Hydroelectric,28.3668759,85.1,0,0,41.2,-28.4,40.992295,-121.975182
249,2,1728,Conventional Hydroelectric,27.8335386,83.5,0,0,40.4,-27.8,40.992295,-121.975182
250,H1,1643,Conventional Hydroelectric,3.76669415,11.3,0,0,18.7771429,-14.6707143,37.092486,-119.552826
250,H3,1643,Conventional Hydroelectric,3.76669415,11.3,0,0,18.7771429,-14.6707143,37.092486,-119.552826
253,1,1734,Conventional Hydroelectric,0.500003463,1.5,0,0,18.7771429,-14.6707143,40.677827,-121.873253
258,1,615,Conventional Hydroelectric,1.13334137,3.4,0,0,18.7771429,-14.6707143,37.52301,-120.329905
261,1,60,Conventional Hydroelectric,1.20000852,3.6,0,0,18.7771429,-14.6707143,38.147093,-120.446396
264,1,1448,Conventional Hydroelectric,0.53333704,1.6,0,0,18.7771429,-14.6707143,38.032103,-120.326537
265,H1,8553,Conventional Hydroelectric,11.5334181,34.6,0,0,16.8,-11.5,40.99084,-121.498243
265,H2,8553,Conventional Hydroelectric,11.5334181,34.6,0,0,16.8,-11.5,40.99084,-121.498243
267,1,1727,Conventional Hydroelectric,17.2334603,51.7,0,0,25.0,-17.2,40.986361,-121.84944
267,2,1727,Conventional Hydroelectric,17.2334603,51.7,0,0,25.0,-17.2,40.986361,-121.84944
268,H1,1730,Conventional Hydroelectric,12.733427,38.2,0,0,21.6,-12.7,40.986197,-121.977594
268,H2,1730,Conventional Hydroelectric,12.733427,38.2,0,0,21.6,-12.7,40.986197,-121.977594
268,H3,1730,Conventional Hydroelectric,11.066748,33.2,0,0,24.9,-11.1,40.986197,-121.977594
268,H4,1730,Conventional Hydroelectric,10.6667451,32.0,0,0,24.0,-10.7,40.986197,-121.977594
269,H1,1729,Conventional Hydroelectric,13.2000971,39.6,0,0,19.2,-13.2,40.922568,-121.992906
269,H2,1729,Conventional Hydroelectric,13.2000971,39.6,0,0,19.2,-13.2,40.922568,-121.992906
274,1,1501,Conventional Hydroelectric,1.46667714,4.4,0,0,18.7771429,-14.6707143,39.361786,-123.127934
274,2,1501,Conventional Hydroelectric,0.666671338,2.0,0,0,18.7771429,-14.6707143,39.361786,-123.127934
274,3,1501,Conventional Hydroelectric,1.00000706,3.0,0,0,18.7771429,-14.6707143,39.361786,-123.127934
275,H1,2220,Conventional Hydroelectric,21.0001548,63.0,0,0,30.5,-21.0,39.90521,-121.345226
275,H2,2220,Conventional Hydroelectric,21.0001548,63.0,0,0,30.5,-21.0,39.90521,-121.345226
279,1,32,Conventional Hydroelectric,4.10002996,12.3,0,0,18.7771429,-14.6707143,38.497914,-120.21811
279,2,32,Conventional Hydroelectric,9.90007271,29.7,0,0,14.4,-9.9,38.497914,-120.21811
280,1,1745,Conventional Hydroelectric,2.23334946,6.7,0,0,18.7771429,-14.6707143,40.395396,-121.879186
281,1,746,Conventional Hydroelectric,2.3333502,7.0,0,0,18.7771429,-14.6707143,39.324613,-120.644807
282,1,746,Conventional Hydroelectric,1.2333421,3.7,0,0,18.7771429,-14.6707143,39.324592,-120.645375
283,1,746,Conventional Hydroelectric,2.20001588,6.6,0,0,18.7771429,-14.6707143,39.337679,-120.635467
284,1,1502,Conventional Hydroelectric,2.00001441,6.0,0,0,18.7771429,-14.6707143,38.18653,-120.11168
285,HC1,1890,Conventional Hydroelectric,27.3002013,81.9,0,0,39.7,-27.3,38.139048,-120.370325
287,H1,8623,Conventional Hydroelectric,8.50006236,25.5,0,0,15.8,-8.5,38.449291,-120.492645
287,H2,8623,Conventional Hydroelectric,8.90006533,26.7,0,0,16.5,-8.9,38.449291,-120.492645
289,1,1892,Conventional Hydroelectric,1.40000998,4.2,0,0,18.7771429,-14.6707143,36.163076,-118.707104
289,2,1892,Conventional Hydroelectric,1.40000998,4.2,0,0,18.7771429,-14.6707143,36.163076,-118.707104
290,1,1745,Conventional Hydroelectric,2.8333539,8.5,0,0,18.7771429,-14.6707143,40.459111,-121.86708
291,1,1958,Conventional Hydroelectric,4.53336649,13.6,0,0,18.7771429,-14.6707143,38.420898,-120.549572
292,1,1755,Conventional Hydroelectric,4.53336649,13.6,0,0,18.7771429,-14.6707143,38.889862,-121.098525
